Region of World,Country,State,Name,Type,Grade
North America,USA,Alabama,Tick or Tie,Boulder,{AU} V5
North America,USA,Alabama,Pucker Up,Boulder,V2
North America,USA,Alabama,Plinko,Boulder,V2
North America,USA,Alabama,Vandala,Boulder,{AU} V2
North America,USA,Alabama,Downclimb Groove,Boulder,V0-
North America,USA,Alabama,Hugs and Kisses,Boulder,V8
North America,USA,Alabama,Popeye,Boulder,V5
North America,USA,Alabama,Thugs and Bitches,Boulder,V8
North America,USA,Alabama,Brass Monkey,Boulder,V7
North America,USA,Alabama,"<span title=""Quality: 67%""></span> Mariachi",Boulder,V5
North America,USA,Alabama,Sunbeam,Boulder,V4
North America,USA,Alabama,Beach,Boulder,V5
North America,USA,Alabama,Spur of the Moment,Boulder,V2
North America,USA,Alabama,The Rail,Boulder,V0
North America,USA,Alabama,Pocket Pool,Boulder,V0
North America,USA,Alabama,Stare,Boulder,V0
North America,USA,Alabama,Sandbox,Boulder,V2
North America,USA,Alabama,Cull Moon,Boulder,V3
North America,USA,Alabama,Ketchup,Boulder,V1
North America,USA,Alabama,Honeycomb,Boulder,V3
North America,USA,Alabama,Slice,Boulder,V2
North America,USA,Alabama,Picante,Boulder,V4
North America,USA,Alabama,Sometimes...,Boulder,V3
North America,USA,Alabama,Copa Cobana,Boulder,V3
North America,USA,Alabama,Flake Right,Boulder,V1
North America,USA,Alabama,Upward Gardening,Boulder,{AU} V4
North America,USA,Alabama,The Arete,Boulder,V3
North America,USA,Alabama,Interact,Boulder,V0
North America,USA,Alabama,Spirit,Boulder,V1
North America,USA,Alabama,The Lowdown b,Boulder,{AU} V4
North America,USA,Alabama,Mulletino b,Boulder,{AU} V5
North America,USA,Alabama,Drip,Boulder,V5
North America,USA,Alabama,"<span title=""Quality: 78%""></span> The Lowdown",Boulder,V4
North America,USA,Alabama,Ghetto Superstar,Boulder,V9
North America,USA,Alabama,Uhuhuh,Boulder,V7
North America,USA,Alabama,Mulletino,Boulder,V5
North America,USA,Alabama,Short Long,Boulder,V7
North America,USA,Alabama,Inspect Her Gadget,Boulder,V7
North America,USA,Alabama,The Theif,Boulder,V9
North America,USA,Alabama,Wrist Distentia,Boulder,V9
North America,USA,Alabama,"<span title=""Quality: 70%""></span> Hammerhead",Boulder,V5
North America,USA,Alabama,Step-Child,Boulder,V8
North America,USA,Alabama,The Wood,Boulder,V6
North America,USA,Alabama,American Pie,Boulder,V9
North America,USA,Alabama,Chevy,Boulder,V8
North America,USA,Alabama,Consumption,Boulder,V8
North America,USA,Alabama,Night Fever,Boulder,V1
North America,USA,Alabama,Earth Wind and Fire,Boulder,V4
North America,USA,Alabama,Twix Lips,Boulder,V4
North America,USA,Alabama,Boogie Wonderland,Boulder,V3
North America,USA,Alabama,Ring My Bell,Boulder,V2
North America,USA,Alabama,Chattanooga Plow,Boulder,V7
North America,USA,Alabama,Cadillac Thrills,Boulder,V10
North America,USA,Alabama,Hang Me,Boulder,V7
North America,USA,Alabama,Spandex Ballet(low),Boulder,V6
North America,USA,Alabama,Spandex Ballet,Boulder,V4
North America,USA,Alabama,Groove 2,Boulder,V2
North America,USA,Alabama,Bombedil,Boulder,V3
North America,USA,Alabama,Snibe,Boulder,V1
North America,USA,Alabama,Permanent Scream,Boulder,V6
