Name,Location,State(s),Counties,Type,Length,Uses
6 to 10 Trail,"At the Allegheny Portage Railroad NHS west of Altoona, PA",Pennsylvania,Blair,"['Backcountry', 'Greenway', 'Rail', 'Trail']",7.85 Miles / 12.63 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Dogs - On leash', 'Heritage and History', 'Pedestrian - Walking/Hiking/Running', 'Snow - Cross-country Skiing', 'Wildlife Observation']"
Agonikak Snowmobile,West of U.S. Highway 45 between Watersmeet and WI State line.,Michigan,Gogebic,"['Snow', 'Trail']",12.03 Miles / 19.36 Km,"['Bicycling (off pavement)', 'Dogs - Mushing', 'Equestrian - Riding', 'Motorized vehicles - Snowmobiling', 'Pedestrian - Walking/Hiking/Running', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing']"
Air Line State Park Trail - South,"East Hampton, Colchester, Hebron, Lebanon",Connecticut,"New London, Tolland, Middlesex",['Greenway'],21.80 Miles / 35.08 Km,"['Dogs - On leash', 'Pedestrian - Walking/Hiking/Running']"
Alabama State Lands Bartram Canoe Trail,Located in the Mobile-Tensaw Delta in Baldwin County.,Alabama,Baldwin,"['Water', 'Trail']",154.00 Miles / 247.84 Km,"['Boating, non-motorized: Canoeing', 'Boating, non-motorized: Kayaking', 'Camping', 'Fishing', 'Heritage and History', 'Hunting', 'Swimming', 'Wildlife Observation']"
Alamosa South Bluff Trail,,Colorado,Alamosa,['Greenway'],1.80 Miles / 2.90 Km,[]
Algonkian Regional Park Sanctuary Trail,Lowe<apos>s Island</apos>,Virginia,Loudoun County,['Other'],2.00 Miles / 3.22 Km,['Wildlife Observation']
Allegheny River Trail,Franklin to Emlenton,Pennsylvania,Venango,"['Backcountry', 'Rail', 'Trail']",30.00 Miles / 48.28 Km,"['Bicycling (on pavement)', 'Camping', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating']"
American Tobacco Trail,"Durham &amp; Wake counties, NC",North Carolina,Durham &amp; Wake Counties,['Greenway'],10.70 Miles / 17.22 Km,"['Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating']"
Anderson Road Fitness Trail,"On W side of J. Percy Priest Lake, SE of Nashville.",Tennessee,Davidson,"['Fitness', 'Trail']",1.00 Miles / 1.61 Km,"['Bicycling (on pavement)', 'Dogs - On leash', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Swimming']"
Andy Cove Nature Trail,"In Pisgah NF, 3 mi. N of Brevard at the Pisgah Ranger Station.",North Carolina,Transylvania,"['Nature', 'Trail']",0.70 Miles / 1.13 Km,['Pedestrian - Walking/Hiking/Running']
Ankeny Rail Trail,At Ankeny NWR W of I-5 10 mi. N of Albany.,Oregon,Marion,['Backcountry'],1.00 Miles / 1.61 Km,[]
Anna Ruby,In Chattahoochee NF accessed through Unicoi SP near Robertstown on SR 75.,Illinois,Gallatin,['Backcountry'],0.80 Miles / 1.29 Km,['Pedestrian - Walking/Hiking/Running']
Annapolis Rock Hiker Campground,South Moutain State Park,Maryland,Washington,['Backcountry'],1.00 Miles / 1.61 Km,"['Camping', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Rock Climbing', 'Wildlife Observation']"
Apalachicola Bluffs,"At Torreya SP, N of Bristol, S of I-10.",Florida,,[],0.80 Miles / 1.29 Km,[]
Apalachicola River Paddling Trail System,"Apalachicola, Florida, Water trails northeast of Apalachicola in creeks and bayous off East Bay.<br/>",Florida,Franklin,"['Water', 'Trail']",100.00 Miles / 160.93 Km,"['Boating, Motorized', 'Boating, non-motorized: Canoeing', 'Boating, non-motorized: Kayaking', 'Camping', 'Fishing', 'Pedestrian - Walking/Hiking/Running']"
Apex,"Near Golden in Apex Park, joins Heritage Square Center to the top of Lookout Mountain.",Colorado,Jefferson,[],3.30 Miles / 5.31 Km,"['Bicycling (off pavement)', 'Dogs - On leash', 'Equestrian - Riding', 'Pedestrian - Walking/Hiking/Running', 'Snow - Snowshoeing']"
Arcadia,"In Coronado National Forest, SW of Safford, accessed at Shannon and Upper Arcadia campgrounds.",Arizona,,[],6.00 Miles / 9.66 Km,[]
Arch Rock Trail,"In the Malheur NF, 25 mi. from Prairie City.  Follow SR 26, Grant Co. Rd. 18, and FS Rds. 36 and 3650.",Oregon,Grant,['Backcountry'],0.30 Miles / 0.48 Km,"['Camping', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running']"
Arivaca Creek,East portion of Buenos Aires National Wildlife Refuge in southern Arizona,Arizona,Pima County,"['Nature', 'Trail']",1.25 Miles / 2.01 Km,"['Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Arrowhead Trail,Peters Township,Pennsylvania,Washington,"['Rail', 'trail']",3.50 Miles / 5.63 Km,"['Bicycling (on pavement)', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating', 'Skateboarding', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing', 'Wildlife Observation']"
Art Loeb Trail,"Pisgah Ranger District, In the Pisgah National Forest, connects Davidson River trailhead across Blue Ridge Parkway to Shining Rock Wilderness.",North Carolina,"Transylvania, Haywood",['Backcountry'],31.00 Miles / 49.89 Km,"['Camping', 'Pedestrian - Walking/Hiking/Running', 'Swimming']"
Atlantic White Cedar Swamp,At Cape Cod Nat. Seashore near S. Wellfleet at Marconi Station Site.,Massachusetts,,[],1.50 Miles / 2.41 Km,[]
Autauga Creek Canoe Trail,"Autauga County, Alabama blueway, passing south through the City of Prattville to the Alabama River.",Alabama,Autauga,"['Water', 'Trail']",13.00 Miles / 20.92 Km,"['Boating, non-motorized: Canoeing', 'Boating, non-motorized: Kayaking', 'Boating, non-motorized: Rafting', 'Camping', 'Dogs - On leash', 'Fishing', 'Heritage and History', 'Swimming']"
Badger Creek,"Backcountry/Wilderness, In the Mt. Hood National Forest, east of Mt. Hood.",Oregon,Wasco,['Backcountry'],11.00 Miles / 17.70 Km,"['Camping', 'Dogs - On leash', 'Equestrian - Riding', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Baker Park,"Urban, Just SW of Sherman at Baker Park.",Texas,,[],1.50 Miles / 2.41 Km,[]
Bald Mountain Trail,"Just W of Ketchum, climbing Bald Mountain.",Idaho,Blaine,['Backcountry'],5.00 Miles / 8.05 Km,"['Bicycling (off pavement)', 'Pedestrian - Walking/Hiking/Running']"
Balfour Riverwalk Trail,"Bristol County, MA, Connects downtown Attleboro to Ten Mile River shoreline.",Massachusetts,Bristol,"['Greenway', 'Urban', 'Trail']",0.25 Miles / 0.40 Km,"['Bicycling (on pavement)', 'Pedestrian - Walking/Hiking/Running']"
Bandelier Backcountry,At Bandelier National Monument near Laos Alamos.,New Mexico,,[],30.00 Miles / 48.28 Km,[]
Barclay Farm Trails,"Barclay Farmstead, Cherry Hill, NJ",New Jersey,Camden,"['Nature', 'Trail']",1.00 Miles / 1.61 Km,"['Bicycling (off pavement)', 'Dogs - On leash', 'Heritage and History', 'Pedestrian - Walking/Hiking/Running', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing', 'Wildlife Observation']"
Bartram Nature,"In Nantahala NF, W from Franklin to Nantahala Lake.",North Carolina,Macon,['Backcountry'],78.40 Miles / 126.17 Km,"['Camping', 'Dogs - On leash', 'Fishing', 'Pedestrian - Walking/Hiking/Running']"
Bartram Trail at Thurmond Lake,"On U.S. Army Corps of Engineers, J. Strom Thurmond Dam &amp; Lake Project, Clarks Hill, SC - Georgia side of project.",Georgia,Columbia,"['Fitness', 'Trail', 'Greenway', 'Mountain', 'Bike', 'Trail', 'Nature', 'Trail']",27.00 Miles / 43.45 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Dogs - On leash', 'Fishing', 'Heritage and History', 'Hunting', 'Pedestrian - Walking/Hiking/Running', 'Swimming', 'Wildlife Observation']"
Bay de Noc - Grand Island,"Rapid River, Central Upper Peninsula of Michigan.",Michigan,"Delta, Alger",['Backcountry'],42.00 Miles / 67.59 Km,"['Bicycling (off pavement)', 'Camping', 'Camping', 'Dogs - Mushing', 'Dogs - On leash', 'Equestrian - Riding', 'Equestrian - Pack trips', 'Equestrian - Other stock', 'Snow - Cross-country Skiing']"
Beach to Bay Indian,,Maryland,,[],100.00 Miles / 160.93 Km,[]
Bear Creek Greenway,Connects five communities in Jackson County in Southern Oregon,Oregon,Jackson,['Greenway'],17.50 Miles / 28.16 Km,"['Bicycling (on pavement)', 'Dogs - On leash', 'Equestrian - Riding', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating', 'Skateboarding', 'Wildlife Observation']"
Bear Run Nature Reserve,,Pennsylvania,,[],20.00 Miles / 32.19 Km,[]
Bear Valley,"On Hayden Creek Rd., off SR 28, 37 mi. from Salmon.",California,Marin,[],4.20 Miles / 6.76 Km,[]
Bearaller Gap Hiking,"Near Carthage, on the north side of Cordell Hull Lake east of Tennessee 85.",Tennessee,,[],6.00 Miles / 9.66 Km,[]
Beartooth Loop,"Shoshone National Forest, Rocky Mountain Park",Wyoming,,['Backcountry'],9.70 Miles / 15.61 Km,"['Bicycling (on pavement)', 'Camping', 'Dogs - Mushing', 'Dogs - On leash', 'Equestrian - Riding', 'Equestrian - Pack trips', 'Equestrian - Other stock', 'Fishing', 'Motorized vehicles - Motorcycling', 'Motorized vehicles - Snowmobiling', 'Snow - Cross-country Skiing', 'Wildlife Observation']"
Beaver Lake Nature Center,Rural,New York,,"['Nature', 'Trail', 'Water', 'Trail']",10.00 Miles / 16.09 Km,[]
Benbrook Lake Horseback,S of Fort Worth on US 377 along W shore of Benbrook Lake.,Texas,,[],7.30 Miles / 11.75 Km,[]
Bennington Lake Trail System,"In Mill Creek Project near Walla Walla, Wa",Washington,Walla Walla,"['Equestrian', 'Trail', 'Fitness', 'Trail', 'Mountain', 'Bike', 'Trail', 'Snow', 'Trail']",20.00 Miles / 32.19 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Boating, non-motorized: Canoeing', 'Boating, non-motorized: Kayaking', 'Boating, non-motorized: Rafting', 'Boating, non-motorized: Sailing', 'Dogs - Off leash', 'Dogs - On leash', 'Equestrian - Riding', 'Fishing', 'Hunting', 'Ice Skating', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating', 'Skateboarding', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing', 'Swimming', 'Wildlife Observation']"
Berryman Trail,near Potosi and Steelville.,Missouri,Washington,['Backcountry'],24.00 Miles / 38.62 Km,"['Bicycling (off pavement)', 'Camping', 'Camping', 'Dogs - On leash', 'Equestrian - Riding', 'Wildlife Observation']"
Beyer Farm Trail,Warsaw,Indiana,Kosciusko,['Greenway'],23.00 Miles / 37.01 Km,[]
Big Bend Saltwater Paddling Trail,Gulf coast of Florida,Florida,"Taylor, Dixie","['Water', 'Trail']",105.00 Miles / 168.98 Km,"['Boating, non-motorized: Kayaking', 'Camping', 'Fishing', 'Heritage and History', 'Swimming', 'Swimming - Diving/snorkeling', 'Wildlife Observation']"
Big Dry Creek Trail,"Westminster, Colorado",Colorado,"Adams, Jefferson",[],9.50 Miles / 15.29 Km,[]
Big Glassy,"Suburban, Carl Sandberg Home NHS.",North Carolina,,[],1.50 Miles / 2.41 Km,[]
Big Hole Battlefield,"At Big Hole National Battlefield, ten miles west of Wisdom, MT on SH 43, In Gallatin National Forest, N of Earthquake Lake on SR 287.",Montana,Beaverhead,"['Nature', 'Trail']",0.50 Miles / 0.80 Km,['Pedestrian - Walking/Hiking/Running']
Big Springs Water,"On Henry Fork of Snake R off SR 84, ¾ mi. W of Big Springs.",Idaho,Freemont,"['Backcountry', 'Nature', 'Trail']",5.00 Miles / 8.05 Km,"['Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Big Wood River Trail,"Sawtooth National Forest, Ketchum Road, 3 mi. north of Ketchum, west side of State Route 75 and Big Wood River (extended 1981).",Idaho,Blaine,"['Backcountry', 'Snow', 'Trail']",2.00 Miles / 3.22 Km,"['Bicycling (on pavement)', 'Camping', 'Camping', 'Dogs - On leash', 'Equestrian - Riding', 'Equestrian - Pack trips', 'Equestrian - Other stock', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Shooting - Archery']"
Biltmore Campus Trail,Along Highway 276 south of the Blue Ridge Parkway at the Cradle of Forestry National Forest Historic Site.,North Carolina,Transylvania,"['Nature', 'Trail']",1.00 Miles / 1.61 Km,"['Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Bird to Gird Pathway / Indian to Girdwood Trail,"Mile 90 to Mile 103 Seward Highway, Just up above Seward Hwy, connecting Girdwood to Indian, overlooking Turnagain Arm.<br/>",Alaska,Anchorage,"['Snow', 'Trail', 'Rail', 'Trail']",13.00 Miles / 20.92 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Camping', 'Camping', 'Dogs - Mushing', 'Dogs - On leash', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating', 'Skateboarding']"
Black Canyon National Recreation Trail,"In both Maricopa and Yavapai Counties, north of Phoenix just west of Interstate 17 from Highway 74 north to Highway 69.  Ends at the Prescott National Forest boundary. The southern-most portion begins in Maricopa County and ends in Yavapai County.",Arizona,"Maricopa, Yavapai","['Backcountry', 'Equestrian', 'Trail', 'Mountain', 'Bike', 'Trail']",82.00 Miles / 131.97 Km,"['Bicycling (off pavement)', 'Camping', 'Dogs - On leash', 'Equestrian - Riding', 'Equestrian - Pack trips', 'Pedestrian - Walking/Hiking/Running']"
Black Creek Hiking Trail,"DeSoto National Forest, Crosses DeSoto National Forest from NW of Wiggins to Paul B. Johnson State Park SE of Hattiesburg.",Mississippi,"Forrest, Perry",['Backcountry'],40.00 Miles / 64.37 Km,[]
Black History Trail,"Washington, DC",District of Columbia,"Washington, DC",[],7.50 Miles / 12.07 Km,[]
Black River Hike and Bike Trail,"In River Road Park, near Piedmont MO, west of Piedmont on Hwy HH, north shore of Black River.",Missouri,Wayne,"['Fitness', 'Trail', 'Nature', 'Trail']",3.25 Miles / 5.23 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running']"
Blackhawk Trail,In S end of Burlington at Crapo Park. (recertified 1990),Iowa,Des Moines,"['Nature', 'Trail']",0.50 Miles / 0.80 Km,['Pedestrian - Walking/Hiking/Running']
Blacktail - Wild Bill,"Rural, 15 mi. southwest of Kalispell near Blacktail Mountain.",Montana,Lincoln,['Backcountry'],12.50 Miles / 20.12 Km,"['Motorized vehicles - ATV riding', 'Motorized vehicles - Four wheel drive', 'Motorized vehicles - Motorcycling', 'Motorized vehicles - OHV driving', 'Motorized vehicles - Snowmobiling', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing']"
Blackwater Fire Memorial,"Shoshone National Forest, In Shoshone National Forest S of US 14/16, 38 mi. W of Cody at Blackwater Lodge.",Wyoming,,['Backcountry'],6.00 Miles / 9.66 Km,"['Bicycling (on pavement)', 'Camping', 'Camping', 'Dogs - Mushing', 'Dogs - On leash', 'Equestrian - Riding', 'Equestrian - Pack trips', 'Equestrian - Other stock', 'Fishing', 'Motorized vehicles - Snowmobiling']"
Blevins Gap Nature Preserve Trail System,"Huntsville, Alabama",Alabama,Madison,"['Greenway', 'Mountain', 'Bike', 'Trail', 'Nature', 'Trail', 'Urban', 'Trail']",10.50 Miles / 16.90 Km,"['Bicycling (off pavement)', 'Dogs - On leash', 'Heritage and History', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Blue Hill Hiking Trail,"Sherburne National Wildlife Refuge, In Sherburne NWR, NW of Zimmerman, W of US 169.",Minnesota,Sherburne,"['Backcountry', 'Nature', 'Trail']",5.00 Miles / 8.05 Km,"['Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Blue Lake,"In Modoc National Forest, at Blue Lake Campground, 13 mi. E of Likely.",California,,[],1.50 Miles / 2.41 Km,[]
Blue Mountain Equestrian Trail,15 minutes soutwest of Missoula in the Lolo National Forest.,Montana,Missoula,['Backcountry'],9.10 Miles / 14.65 Km,"['Camping', 'Camping', 'Dogs - On leash', 'Equestrian - Riding', 'Swimming', 'Swimming - Diving/snorkeling', 'Wildlife Observation']"
Blue Ridge,"In the Apache-Sitgreaves NF from Lakeside S on SR 260, E on Bucksprings Rd, N on FS Rd. 182, W on FS Rd. 187.",Arizona,,['Backcountry'],8.70 Miles / 14.00 Km,['Pedestrian - Walking/Hiking/Running']
Bluff Trail,"13 miles SW of Walterboro, SC",South Carolina,Colleton,['Other'],3.20 Miles / 5.15 Km,['Pedestrian - Walking/Hiking/Running']
Bona Dea,On NW edge of Russellville on SR 326 (Dike Rd.).,Arkansas,,[],5.00 Miles / 8.05 Km,"['Dogs - On leash', 'Pedestrian - Walking/Hiking/Running']"
Bossard Nature,At Woodcock Creek Lake NRA 6 mi. NE of Meadville on SR 198.,Pennsylvania,,[],1.50 Miles / 2.41 Km,[]
Boulder Loop Trail,"Albany, NH, off Kancamgus Highway",New Hampshire,Carroll,['Backcountry'],2.80 Miles / 4.51 Km,"['Bicycling (off pavement)', 'Camping', 'Camping', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing', 'Wildlife Observation']"
